a52dec 0.8.0-2
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.6.0-1
libxkbcommon-x11 1.6.0-1
libxkbfile 1.1.3-1
libxml2 2.12.5-1
libxmlb 0.3.15-1
libxmu 1.1.4-1
libxpm 3.5.17-1
libxpresent 1.0.1-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.39-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
libzip 1.10.1-1
licenses 20240206-1
lilv 0.24.24-1
linbox 1.7.0-1
linux 6.7.4.arch1-1
linux-api-headers 6.7-1
linux-firmware 20240115.9b6d0b08-2
linux-firmware-whence 20240115.9b6d0b08-2
lirc 1:0.10.2-3
llvm-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.32-1
localsend-bin 1.13.1-1
lrcalc 2.1-4
lsof 4.99.0-1
lua 5.4.6-3
luajit 2.1.1702233742-1
lv2 1.18.10-1
lvm2 2.03.23-1
lz4 1:1.9.4-2
lzo 2.10-5
m4 1.4.19-3
m4ri 20200125-2
m4rie 20200125-2
mailcap 2.1.54-1
make 4.4.1-2
mako 1.8.0-1
mariadb-libs 11.2.3-1
maxima 5.47.0-9
maxima-ecl 5.47.0-9
maxima-fas 5.47.0-9
md4c 0.5.2-1
mdadm 4.2-2
media-player-info 24-2
mesa 1:23.3.5-1
meson 1.3.2-1
milou 5.27.10-1
minizip 1:1.3.1-1
mkinitcpio 37.3-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
modemmanager 1.22.0-1
modemmanager-qt5 5.115.0-1
mpfi 1.5.4-4
mpfr 4.2.1-2
mpg123 1.32.4-1
mpv 1:0.37.0-2
mtdev 1.1.6-2
mujs 1.3.4-1
nano 7.2-1
nauty 1:2.8.8-2
ncurses 6.4_20230520-1
neofetch 7.1.0-2
netpbm 10.86.40-1
nettle 3.9.1-1
network-manager-applet 1.36.0-1
networkmanager 1.44.2-3
ninja 1.11.1-3
nm-connection-editor 1.36.0-1
node-gyp 10.0.1-1
nodejs-lts-iron 20.11.1-1
nodejs-nopt 7.2.0-1
normaliz 3.10.1-3
noto-fonts 1:24.2.1-1
npm 10.4.0-2
npth 1.6-4
nspr 4.35-2
nss 3.97-1
ntfs-3g 2022.10.3-1
ntl 11.5.1-1
numactl 2.0.18-1
nwg-look 0.2.7-1
ocl-icd 2.3.2-1
okular 23.08.5-1
onlyoffice-bin 8.0.0-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.2.2-1
openjpeg2 2.5.0-3
openmpi 5.0.2-2
openpmix 4.2.9-1
openssh 9.6p1-1
openssl 3.2.1-1
opus 1.4-1
orc 0.4.37-1
orchis-theme 2023_10_20-1
oxygen-sounds 5.27.10-1
p11-kit 0.25.3-1
p8-platform 2.1.0.1-4
pacman 6.0.2-9
pacman-mirrorlist 20231001-1
palp 1:2.20-1
pam 1.6.0-4
pamac-aur 11.7.1-2
pambase 20230918-1
pango 1:1.51.2-1
pangomm 2.46.4-1
pari 2.15.4-1
pari-galdata 20080412-1
pari-seadata-small 20090618-3
parted 3.6-1
paru 2.0.1-1
paru-debug 2.0.1-1
patch 2.7.6-10
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.12.0-3
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.2.1-3
pipewire 1:1.0.3-1
pipewire-audio 1:1.0.3-1
pipewire-pulse 1:1.0.3-1
pipewire-session-manager 1:1.0.3-1
pixman 0.43.2-1
pkgconf 2.1.0-2
planarity 3.0.2.0-1
plasma-desktop 5.27.10-1
plasma-framework5 5.115.0-1
plasma-integration 5.27.10-1
plasma-wayland-session 5.27.10-2
plasma-workspace 5.27.10-2
playerctl 2.4.1-3
plfit 0.9.4-1
polkit 124-2
polkit-kde-agent 5.27.10-1
polkit-qt5 0.175.0-1
poppler 24.01.0-1
poppler-data 0.4.12-1
poppler-qt5 24.01.0-1
popt 1.19-1
portaudio 1:19.7.0-2
potrace 1.16-2
powerdevil 5.27.10-2
powertop 2.15-1
ppl 1.2-5
ppp 2.5.0-3
primecount 7.10-1
primesieve 11.2-1
print-manager 23.08.5-1
prison5 5.115.0-1
procps-ng 4.0.4-2
protobuf 25.2-1
prrte 3.0.4-1
psmisc 23.6-1
pugixml 1.14-1
pulseaudio-qt 1.4.0-1
purpose5 5.115.0-1
python 3.11.7-1
python-annotated-types 0.6.0-1
python-argcomplete 2.0.0-2
python-asttokens 2.4.1-1
python-attrs 23.2.0-1
python-autocommand 2.2.2-4
python-babel 2.12.1-2
python-build 1.0.3-1
python-cachecontrol 1:0.14.0-2
python-cachy 0.3.0-9
python-cairo 1.26.0-1
python-cffi 1.16.0-1
python-charset-normalizer 3.3.2-1
python-cleo 2.1.0-1
python-click 8.1.7-1
python-comm 0.2.1-1
python-contourpy 1.2.0-1
python-crashtest 0.4.1-2
python-cryptography 41.0.7-1
python-cvxopt 1.3.2-3
python-cycler 0.12.1-1
python-cypari2 2.1.4-1
python-cysignals 1.11.4-1
python-dateutil 2.8.2-6
python-decorator 5.1.1-3
python-distlib 0.3.8-1
python-docutils 1:0.20.1-1
python-dulwich 0.21.7-1
python-executing 2.0.0-1
python-fastjsonschema 2.19.1-1
python-filelock 3.13.1-1
python-fonttools 4.49.0-1
python-fpylll 0.6.1-1
python-gmpy2 2.1.5-2
python-gobject 3.46.0-1
python-html5lib 1.1-13
python-idna 3.6-1
python-imagesize 1.4.1-4
python-importlib-metadata 5.1.0-1
python-inflect 7.0.0-2
python-installer 0.7.0-3
python-ipywidgets 8.1.2-1
python-jaraco.classes 3.3.1-1
python-jaraco.context 4.3.0-3
python-jaraco.functools 4.0.0-1
python-jaraco.text 3.12.0-1
python-jedi 0.19.1-1
python-jeepney 0.8.0-2
python-jinja 1:3.1.3-1
python-jsonschema 4.21.1-1
python-jsonschema-specifications 2023.12.1-1
python-keyring 24.3.0-1
python-kiwisolver 1.4.5-1
python-lark-parser 1.1.9-1
python-lockfile 0.12.2-12
python-lxml 4.9.2-3
python-markdown 3.5.1-1
python-markupsafe 2.1.4-1
python-matplotlib 3.8.2-1
python-matplotlib-inline 0.1.6-4
python-memory-allocator 0.1.3-2
python-more-itertools 10.1.0-1
python-mpmath 1.3.0-2
python-msgpack 1.0.5-1
python-networkx 3.2.1-1
python-numpy 1.26.4-1
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pandas 1.5.3-3
python-parso 1:0.8.3-2
python-pexpect 4.9.0-1
python-pillow 10.2.0-1
python-pkginfo 1.9.6-2
python-platformdirs 4.1.0-1
python-ply 3.11-12
python-poetry 1.7.1-1
python-poetry-core 1.9.0-1
python-poetry-plugin-export 1.5.0-1
python-pooch 1.8.0-1
python-pplpy 0.8.9-1
python-primecountpy 0.1.0-4
python-prompt_toolkit 3.0.43-1
python-psutil 5.9.8-1
python-ptyprocess 0.7.0-5
python-pure-eval 0.2.2-3
python-pycparser 2.21-5
python-pycryptodomex 3.12.0-2
python-pycups 2.0.1-6
python-pycurl 7.45.2-3
python-pydantic 2.6.1-1
python-pydantic-core 1:2.16.2-1
python-pygments 2.17.2-1
python-pyparsing 3.1.1-1
python-pyproject-hooks 1.0.0-5
python-pyrsistent 0.19.3-3
python-pytz 2024.1-1
python-rapidfuzz 3.6.0-1
python-referencing 0.33.0-1
python-requests 2.31.0-1
python-requests-toolbelt 1.0.0-1
python-rpds-py 0.17.1-1
python-rpy2 3.5.15-1
python-scipy 1.12.0-1
python-secretstorage 3.3.3-2
python-setuptools 1:69.0.3-2
python-shellingham 1.5.0.post1-4
python-simplejson 3.19.2-2
python-six 1.16.0-8
python-snowballstemmer 2.2.0-5
python-sphinx 7.2.6-1
python-sphinx-alabaster-theme 0.7.16-1
python-sphinxcontrib-applehelp 1.0.8-1
python-sphinxcontrib-devhelp 1.0.6-1
python-sphinxcontrib-htmlhelp 2.0.5-1
python-sphinxcontrib-jsmath 1.0.1-15
python-sphinxcontrib-qthelp 1.0.7-1
python-sphinxcontrib-serializinghtml 1.1.10-1
python-stack-data 0.6.3-1
python-sympy 1.12-2
python-toml 0.10.2-9
python-tomli 2.0.1-3
python-tomlkit 0.12.3-1
python-tqdm 4.66.2-1
python-traitlets 5.14.1-1
python-trove-classifiers 2024.1.31-1
python-typing_extensions 4.9.0-1
python-tzlocal 1:5.2-1
python-urllib3 1.26.18-1
python-validate-pyproject 0.13-1
python-virtualenv 20.25.0-1
python-wcwidth 0.2.13-1
python-webencodings 0.5.1-10
python-yaml 6.0.1-2
python-zipp 3.17.0-1
qbittorrent 4.6.3-1
qca-qt5 2.3.8-1
qd 2.3.24-1
qhull 2020.2-4
qpdf 11.8.0-1
qqc2-desktop-style5 5.115.0-1
qrencode 4.1.1-2
qt5-base 5.15.12+kde+r151-1
qt5-declarative 5.15.12+kde+r31-1
qt5-graphicaleffects 5.15.12-1
qt5-location 5.15.12+kde+r6-1
qt5-multimedia 5.15.12+kde+r2-1
qt5-quickcontrols 5.15.12-1
qt5-quickcontrols2 5.15.12+kde+r5-1
qt5-sensors 5.15.12-1
qt5-speech 5.15.12+kde+r1-1
qt5-svg 5.15.12+kde+r6-1
qt5-tools 5.15.12+kde+r4-1
qt5-translations 5.15.12-1
qt5-wayland 5.15.12+kde+r61-1
qt5-webchannel 5.15.12+kde+r3-1
qt5-webengine 5.15.16-3
qt5-x11extras 5.15.12-1
qt5ct 1.8-1
qt6-base 6.6.2-3
qt6-declarative 6.6.2-1
qt6-imageformats 6.6.2-1
qt6-svg 6.6.2-1
qt6-translations 6.6.2-1
qt6-wayland 6.6.2-1
r 4.3.2-4
rankwidth 0.9-2
rav1e 0.7.1-1
readline 8.2.010-1
rhash 1.4.4-1
rnnoise 0.4.1-1
rtkit 0.13-2
rubberband 3.3.0-1
sage-data-combinatorial_designs 20140630-4
sage-data-conway_polynomials 0.5-5
sage-data-elliptic_curves 0.8.1-2
sage-data-graphs 20210214-1
sage-data-polytopes_db 20170220-2
sagemath 10.2-2
sbc 2.0-1
sddm 0.20.0-4
sddm-kcm 5.27.10-1
sdl2 2.30.0-1
seatd 0.8.0-1
sed 4.9-3
selectdefaultapplication-git r22.c752df6-1
semver 7.5.4-1
serd 0.32.2-1
shaderc 2023.7-2
shadow 4.14.3-1
shairplay 20180824.096b61a-4
shared-mime-info 2.4-1
signon-kwallet-extension 23.08.5-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
singular 4.3.2.p15-1
slang 2.3.3-2
slurp 1.5.0-1
smbclient 4.19.4-1
snappy 1.1.10-1
sndio 1.9.0-1
sof-firmware 2023.12-1
solid5 5.115.0-1
sonnet5 5.115.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
spdlog 1.13.0-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.5-1
sqlite 3.45.1-1
sratom 0.6.16-1
srt 1.5.3-1
sudo 1.9.15.p5-1
suitesparse 7.6.0-1
svt-av1 1.8.0-1
swaylock-effects-git r470.496059a-1
symmetrica 3.0.1-1
sympow 2.023.6-1
syndication5 5.115.0-1
syntax-highlighting5 5.115.0-1
system-config-printer 1.5.18-2
systemd 255.3-1
systemd-libs 255.3-1
systemd-sysvcompat 255.3-1
systemsettings 5.27.10-1
t1lib 5.1.2-8
tachyon 0.99.5-1
taglib 2.0-1
talloc 2.4.1-1
tar 1.35-2
tcl 8.6.13-1
tdb 1.4.9-1
telegram-desktop 4.14.15-2
tevent 1:0.15.0-1
texinfo 7.1-2
texlive-basic 2023.66594-20
texlive-bibtexextra 2023.66594-20
texlive-bin 2023.66984-19
texlive-binextra 2023.66594-20
texlive-context 2023.66594-20
texlive-fontsextra 2023.66594-20
texlive-fontsrecommended 2023.66594-20
texlive-fontutils 2023.66594-20
texlive-formatsextra 2023.66594-20
texlive-games 2023.66594-20
texlive-humanities 2023.66594-20
texlive-latex 2023.66594-20
texlive-latexextra 2023.66594-20
texlive-latexrecommended 2023.66594-20
texlive-luatex 2023.66594-20
texlive-mathscience 2023.66594-20
texlive-metapost 2023.66594-20
texlive-music 2023.66594-20
texlive-pictures 2023.66594-20
texlive-plaingeneric 2023.66594-20
texlive-pstricks 2023.66594-20
texlive-publishers 2023.66594-20
texlive-xetex 2023.66594-20
thin-provisioning-tools 1.0.11-1
threadweaver5 5.115.0-1
threejs-sage 1:r124-3
tinyxml 2.6.2-10
tk 8.6.13-2
tlp 1.6.1-1
tlp-rdw 1.6.1-1
tlpui 2:1.6.2-2
tomlplusplus 3.4.0-1
tpm2-tss 4.0.1-1
tracker3 3.6.0-3
tslib 1.22-1
ttf-carlito 20230509-1
ttf-dejavu 2.37+18+g9b5d1b2f-6
ttf-droid 20121017-10
ttf-hack 3.003-6
ttf-jetbrains-mono-nerd 3.1.1-1
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
tzdata 2024a-1
uchardet 0.0.8-2
udisks2 2.10.1-2
unzip 6.0-20
upower 1.90.2-1
